document_id,filename,insurer,plan_name,source_url,uin_match,confidence,review_status,notes
pending_hash:NewIndia_Tertiary_Care.pdf,NewIndia_Tertiary_Care.pdf,New_India_Assurance,,website,NIAHLIP25041V032425,,,status_unset
pending_hash:Star_ASSY_updated_26_12_2023.pdf,Star_ASSY_updated_26_12_2023.pdf,Star_Health,,website,SHAPAGP24057V012324,,,status_unset
pending_hash:Star_Health_Star_Group_Health_Insurance_for_Bank_Customers.pdf,Star_Health_Star_Group_Health_Insurance_for_Bank_Customers.pdf,Star_Health,,website,SHAHLGP191,,,status_unset
pending_hash:Star_Policy_Arogya_Sanjeevani_Insurance_Policy.pdf,Star_Policy_Arogya_Sanjeevani_Insurance_Policy.pdf,Star_Health,,website,SHAHLIP26045V042526,,,status_unset
pending_hash:Star_Policy_Diabetes_Safe_Insurance_Policy.pdf,Star_Policy_Diabetes_Safe_Insurance_Policy.pdf,Star_Health,,website,SHAHLIP23081V082223,,,status_unset
pending_hash:Star_Policy_Family_Health_Optima_Accident_Care_Policy.pdf,Star_Policy_Family_Health_Optima_Accident_Care_Policy.pdf,Star_Health,,website,SHAHLIP23170V062223,,,status_unset
pending_hash:Star_Policy_Family_Health_Optima_Insurance_Plan.pdf,Star_Policy_Family_Health_Optima_Insurance_Plan.pdf,Star_Health,,website,SHAHLIP26046V092526,,,status_unset
pending_hash:Star_Policy_Medi_Classic_Accident_Care_Individual_Insurance_PolicyWeb.pdf,Star_Policy_Medi_Classic_Accident_Care_Individual_Insurance_PolicyWeb.pdf,Star_Health,,website,SHAHLIP23079V062223,,,status_unset
pending_hash:Star_Policy_Medi_Classic_Insurance_Policy_Individual.pdf,Star_Policy_Medi_Classic_Insurance_Policy_Individual.pdf,Star_Health,,website,SHAHLIP26047V092526,,,status_unset
pending_hash:Star_Policy_POS_Accident_Care_Individual_Insurance_Policy.pdf,Star_Policy_POS_Accident_Care_Individual_Insurance_Policy.pdf,Star_Health,,website,SHAHPAIP18070V031718,,,status_unset
pending_hash:Star_Policy_Senior_Citizens_Red_Carpet_Policy.pdf,Star_Policy_Senior_Citizens_Red_Carpet_Policy.pdf,Star_Health,,website,SHAHLIP26041V082526,,,status_unset
pending_hash:Star_Policy_Smart_Health_Pro.pdf,Star_Policy_Smart_Health_Pro.pdf,Star_Health,,website,SHAHLIP23172V012223,,,status_unset
pending_hash:Star_Policy_Special_Care_Gold.pdf,Star_Policy_Special_Care_Gold.pdf,Star_Health,,website,SHAHLIP23182V012223,,,status_unset
pending_hash:Star_Policy_Star_Comprehensive_Insurance_Policy.pdf,Star_Policy_Star_Comprehensive_Insurance_Policy.pdf,Star_Health,,website,SHAHLIP26044V092526,,,status_unset
pending_hash:Star_Policy_Star_Domestic_Travel_Insurance_PolicyWeb.pdf,Star_Policy_Star_Domestic_Travel_Insurance_PolicyWeb.pdf,Star_Health,,website,SHATIDP23122V012223,,,status_unset
pending_hash:Star_Policy_Star_Extra_Protect_Add_on_Cover.pdf,Star_Policy_Star_Extra_Protect_Add_on_Cover.pdf,Star_Health,,website,SHAHLIA23061V012223,,,status_unset
pending_hash:Star_Policy_Star_FlexiAll_covers_14_05_25.pdf,Star_Policy_Star_FlexiAll_covers_14_05_25.pdf,Star_Health,,website,SHAHLIA26040V012526,,,status_unset
pending_hash:Star_Policy_Star_Health_Assure_Insurance_Policy.pdf,Star_Policy_Star_Health_Assure_Insurance_Policy.pdf,Star_Health,,website,SHAHLIP26048V032526,,,status_unset
pending_hash:Star_Policy_Star_Special_Care_Platinum.pdf,Star_Policy_Star_Special_Care_Platinum.pdf,Star_Health,,website,SHAHLIP26042V012526,,,status_unset
pending_hash:Star_Policy_Star_Women_Care_Insurance_Policy.pdf,Star_Policy_Star_Women_Care_Insurance_Policy.pdf,Star_Health,,website,SHAHLIP23132V022223,,,status_unset
pending_hash:Star_Policy_Super_Star.pdf,Star_Policy_Super_Star.pdf,Star_Health,,website,SHAHLIP27049V022627,,,status_unset
pending_hash:Star_Policy_Wordings_Ayushman_Bharat.pdf,Star_Policy_Wordings_Ayushman_Bharat.pdf,Star_Health,,website_policy_wording,SHAHGSP20026V011920,,,status_unset
pending_hash:Star_Policy_Young_Star_Extra_Protect_Add_on_Cover.pdf,Star_Policy_Young_Star_Extra_Protect_Add_on_Cover.pdf,Star_Health,,website,SHAHLIA23171V012223,,,status_unset
pending_hash:Star_Policy_Young_Star_Insurance_Policy.pdf,Star_Policy_Young_Star_Insurance_Policy.pdf,Star_Health,,website,SHAHLIP26043V062526,,,status_unset
pending_hash:Star_Privilege_Group_Health_Insurance.pdf,Star_Privilege_Group_Health_Insurance.pdf,Star_Health,,website,SHAHLGP21268V0122021,,,status_unset
