document_id,filename,folder_insurer,uin,uin_base,lifecycle_insurer,lifecycle_product_name,match_status,match_confidence,verification_notes,triage_flags
sha256:370da97a7f00e88244cb372b512ea9d76b653c742a06018d4fb0faf5f47a3885,New_India_New_India_Floater_Mediclaim_Policy.pdf,New_India_Assurance,NIAHLIP21278V042021,NIAHLIP21278,New India Assurance,New India Floater Mediclaim Policy,verified,high,Insurer UIN match confirmed; plan name similarity=0.89,possible_duplicate
sha256:260ad7b691618140cfcdb7e78edb3d0de883e12f2407a540089a13ce651b07db,New_India_Senior_Citizen_Mediclaim_Policy.pdf,New_India_Assurance,NIAHLIP21315V022021,NIAHLIP21315,New India Assurance,Senior Citizen Mediclaim Policy,verified,high,Insurer UIN match confirmed; plan name similarity=0.87,possible_duplicate
sha256:c5e861f00acd79f80cc2500ad7f24f499c810444c8d5b4e5b125354a6c48ef79,New_India_Universal_Health_Insurance_Policy_APL.pdf,New_India_Assurance,NIAHLIP21314V022021,NIAHLIP21314,New India Assurance,Universal Health Insurance Policy (APL),verified,high,Insurer UIN match confirmed; plan name similarity=1.00,possible_duplicate
sha256:8d232502aa73843c3a77c0e3bb5ada290e5a17e399475e9299d6b99289141fba,Star_Policy_Family_Accident_Care_Insurance_PolicyWeb.pdf,Star_Health,SHAHLIP21042V012021,SHAHLIP21042,Star Health,Family Accident Care Policy,verified,high,Insurer UIN match confirmed; plan name similarity=0.73,document_type_brochure
sha256:304054cbc792b447720b9639694f3bb35e0dd169b8444b50f02a0a74e661273c,Care_Health_Care.pdf,Care_Health,CHIHLIP22184V062122,CHIHLIP22184,Care Health,Care,verified,high,Insurer UIN match confirmed; plan name similarity=0.53,possible_duplicate
sha256:58d059b4435f724289ccc5efa7e56c4e7bd343ab5ad121488554ebdfd413b4ce,arogya-sanjeevani-policy---(health-insurance-product)--prospectus.pdf,Care_Health,RHIHLIP20154V011920,RHIHLIP20154,Care Health,"Arogya Sanjeevani Policy ,Religare Health Insurance",verified,high,Insurer UIN match confirmed; plan name similarity=0.75,document_type_brochure
sha256:da5b2c683c2094176e6220ce6aaface175d7d58769ef5c84b4d85d838f426e7b,assure-(critical-illness-product)---prospectus-cum-sales-literature.pdf,Care_Health,RHIHLIP21375V022021,RHIHLIP21375,Care Health,Assure,verified,medium,Insurer UIN match confirmed; plan name similarity=0.17,document_type_brochure
sha256:918e4774ce9cc4b9b7479ac76636635367584ee622f6fa9c78380dafc0ac6b2f,care-plus-(health-insurance-product)---brochure.pdf,Care_Health,CHIHLIP22047V012122,CHIHLIP22047,Care Health,Care Plus,verified,medium,Insurer UIN match confirmed; plan name similarity=0.35,document_type_brochure
sha256:986eadcae5afc62456e7a89fef869784a72c3a6aa831559139a32439e79021f8,care-plus--(health-insurance-product)---prospectus-cum-sales-literature.pdf,Care_Health,CHIHLIP22047V012122,CHIHLIP22047,Care Health,Care Plus,verified,medium,Insurer UIN match confirmed; plan name similarity=0.24,document_type_brochure
sha256:18737fee3502d7f8d6406884fbfef2923eafe58433a95864cae72e99baf63dfc,corona-kavach-policy-chi--(health-insurance-product)-prospectus-cum-sales-literature.pdf,Care_Health,RHIHLIP21087V012021,RHIHLIP21087,Care Health,"Corona Kavach Policy ,Religare Health Insurance",verified,high,Insurer UIN match confirmed; plan name similarity=0.61,document_type_brochure
sha256:5384f74dd62679f219cec08e45da6ab6b0357ec122dd50eb648cb0879d5b7753,domestic-staff-insurance-add-on---prospectus-cum-sales-literature.pdf,Care_Health,RHIHLIP21407V022021,RHIHLIP21407,Care Health,Domestic Staff Insurance Add-on,verified,high,Insurer UIN match confirmed; plan name similarity=0.66,document_type_brochure
sha256:35b83d84f75210771f4358d611c6b4c812283d3f8e280d14422755dddf5b8210,enhance-(top-up-insurance-product)--prospectus-cum-sales-literature.pdf,Care_Health,RHIHLIP21372V022021,RHIHLIP21372,Care Health,Enhance,verified,medium,Insurer UIN match confirmed; plan name similarity=0.20,document_type_brochure
sha256:a61016b4af29a67ad04ad5f4d5ecd1b1c9d2d117aa2098e5c859c647b8653d1b,joy-(maternity-insurance-product)--prospectus-cum-sales-literature.pdf,Care_Health,RHIHLIP21373V022021,RHIHLIP21373,Care Health,Joy,verified,medium,Insurer UIN match confirmed; plan name similarity=0.09,document_type_brochure
sha256:eb7f4d2011759fb3510ffc73e4358a874a0db7c8e1b62bea217f538b8da49295,saral-suraksha-bima---chi-(personal-accident-product)---prospectus-cum-sales-literature.pdf,Care_Health,CHIPAIP21610V012021,CHIPAIP21610,Care Health,"Saral Suraksha Bima, Care Health Insurance",verified,high,Insurer UIN match confirmed; plan name similarity=0.52,document_type_brochure
sha256:36ae8a22cade978f0bff5f5eb1b199b2e3223e5e33bfd103b1e563bf6f23705b,senior-health-advantage---brochure.pdf,Care_Health,CHIHLIP22223V012122,CHIHLIP22223,Care Health,Senior Health Advantage,verified,high,Insurer UIN match confirmed; plan name similarity=0.84,document_type_brochure
sha256:5c0b000e91d2872dc1f3e8a72bf0a3ca0e8cca488bdea6e083e7aefabb8c2976,senior-health-advantage--prospectus-cum-sales-literature.pdf,Care_Health,CHIHLIP22223V012122,CHIHLIP22223,Care Health,Senior Health Advantage,verified,high,Insurer UIN match confirmed; plan name similarity=0.59,document_type_brochure
sha256:c619d65157898205f602e98561605369bcd3d4e77c346f4f94afc827a26bfd8e,super-mediclaim---prospectus-cum-sales-literature.pdf,Care_Health,RHIHLIP21374V022021,RHIHLIP21374,Care Health,Super Mediclaim,verified,medium,Insurer UIN match confirmed; plan name similarity=0.48,document_type_brochure
